78	5843084	5350251	7421792	5391067	3681872	5780942	3909214	5518527	7704469	3780108
79	5853270	8019506	3921898	5337168	6189232	4884038	7053707	4877694	4767243	5777596
80	11514123	7258867	11193906	7607726	11402212	7695737	7493428	7427880	7270263	7008243
81	7691664	7739758	7700466	7458700	6320821	6382568	5275889	8095603	8382672	7907715
82	6142237	6580566	5145339	6023149	5859637	4954826	6752301	4299746	6224264	6029560
83	4756291	5983628	4720985	4522668	5213384	4961870	5683566	4677074	4576808	5109681
84	4837665	4504363	4857191	6495607	4542855	5908120	4618320	4983229	6373657	4500260
85	6068729	4805048	4674246	5794671	4829584	4745512	6648361	4799058	5893934	5139895
86	5083773	6427423	9429255	6416581	5129564	6414486	5188040	5307056	6502958	5010069
87	5165051	6355123	5334711	6675976	5350063	9133312	5968662	7037940	5398118	6364193
88	5819839	5572240	6615061	5374656	6730753	5266381	5374714	6396432	9227596	6472847
89	5390242	6812171	5500706	7218223	5353852	6892170	5890783	5674267	6929537	5737315
90	6792261	6388370	6499571	6315475	6006782	6457674	5714936	6789660	5530200	6905807
91	5813539	6918669	6192519	8404885	7222858	6513805	5968048	5841102	7603958	5884085
92	7361723	5989065	7795433	6151196	7727686	6337192	8200750	6306480	7384103	6248725
93	8286540	6447298	7769850	7527786	7334484	11759883	11159252	7843175	11278340	7012011
94	12605710	6675838	9246246	6434191	10022140	9919522	12906191	8053146	6880555	12268513
95	8467400	12951853	7279222	11099385	13075399	9513053	10227639	8770851	7111271	10829330
96	7206000	9189863	13626834	13307584	7984635	9096105	8056219	7809956	11744652	11644986
97	8064161	10140741	7426683	11613818	12006421	7258443	10720584	7252342	11640004	11881293
98	9824175	7557494	9654922	9369751	7805488	8843877	10988141	9268124	10341284	8546080
99	9657519	8035299	9294817	11232956	7928732	11621324	11426607	8775034	15607343	8877787
100	9530036	7862846	9917498	8255536	7686940	10185528	8269984	9087171	8010358	8159418
101	10361686	8013584	16235740	9745190	11444527	10736476	9336088	12424415	12751190	8160191
102	16035684	17350250	11106575	10379818	10741712	8890470	13628828	10616780	10366103	10408836
103	14763911	13888966	10977555	9040108	11274069	14189152	14199864	10865034	8493291	9991030
104	9771135	8829355	9775555	9109972	12171177	10026951	9896357	8733604	10027904	8488737
105	9552442	10444360	13816453	8901026	10461736	10651017	8728688	9883508	10867459	9340772
106	10363747	11725544	11086991	9379023	10900030	10779249	9388881	10461247	12180909	10616764
